px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_gt	py_gt	v_gt	yaw_gt	yawrate_gt	vx_gt	vy_gt	NIS_laser	NIS_radar
-14.9204	10.4054	5.22375	0.129687	-0.330921	-14.9365	10.4722	-14.9846	10.4462	5.14231	0.169179	-0.208879	5.06889	0.865828	0.272669	7.83738
-14.6768	10.4398	5.15328	0.125828	-0.303492	-14.724	9.63507	-14.7309	10.4882	5.14579	0.158735	-0.202468	5.0811	0.813394	0.272669	6.46729
-14.4331	10.4085	5.10767	0.0889003	-0.325768	-14.4088	10.222	-14.4766	10.5276	5.14919	0.148612	-0.196027	5.09243	0.762418	2.07146	6.46729
-14.1727	10.4338	5.11083	0.0755372	-0.320675	-13.9005	10.5238	-14.2218	10.5645	5.15249	0.138811	-0.189554	5.10293	0.712926	2.07146	0.568173
-13.8685	10.5793	5.23349	0.104775	-0.273449	-13.8049	10.9383	-13.9665	10.5989	5.15569	0.129333	-0.183051	5.11263	0.664944	8.09439	0.568173
-13.6152	10.6379	5.19581	0.113275	-0.237813	-13.3956	10.7857	-13.7107	10.631	5.1588	0.120181	-0.176519	5.12159	0.618496	8.09439	2.45689
-13.3636	10.6378	5.17543	0.0913167	-0.248162	-13.3556	10.5517	-13.4545	10.6608	5.1618	0.111355	-0.169959	5.12983	0.573603	0.43734	2.45689
-13.1011	10.664	5.18414	0.0802215	-0.246847	-12.9374	10.8137	-13.1979	10.6884	5.16471	0.102857	-0.163373	5.13741	0.530288	0.43734	0.205143
-12.8452	10.7556	5.20818	0.0942928	-0.220124	-12.9591	11.0099	-12.9409	10.7138	5.16751	0.0946879	-0.156761	5.14436	0.48857	4.27944	0.205143
-12.5817	10.8058	5.20913	0.097021	-0.200968	-12.2518	11.2495	-12.6836	10.7373	5.1702	0.0868499	-0.150124	5.15071	0.448467	4.27944	1.62759
-12.3452	10.7742	5.15651	0.0671366	-0.221234	-12.3713	10.6091	-12.426	10.7587	5.17278	0.0793437	-0.143463	5.15651	0.409997	1.6754	1.62759
-12.0897	10.8103	5.13859	0.0690393	-0.20076	-11.9352	10.9161	-12.1681	10.7783	5.17526	0.0721706	-0.136779	5.16179	0.373177	1.6754	0.851552
-11.8415	10.8729	5.14312	0.0757487	-0.184007	-11.9451	11.0515	-11.91	10.7961	5.17763	0.0653316	-0.130074	5.16658	0.338022	2.29762	0.851552
-11.566	10.8941	5.16773	0.0685172	-0.180387	-10.9703	10.9676	-11.6516	10.8121	5.17988	0.0588279	-0.123349	5.17092	0.304546	2.29762	2.66656
-11.3353	10.9088	5.12829	0.0589835	-0.181163	-11.4548	10.9407	-11.393	10.8265	5.18202	0.0526604	-0.116604	5.17484	0.272761	0.820562	2.66656
-11.0697	10.8488	5.19285	0.00284983	-0.254939	-11.3472	10.5111	-11.1342	10.8394	5.18405	0.0468302	-0.10984	5.17836	0.242681	0.820562	9.27725
